City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto baquerizo moreno,-0.9,-89.6,79.79,83,40,8.05,EC,1700590702
83,fort bragg,35.139,-79.006,67.55,76,100,3.44,US,1700590703
84,feodosiya,45.0333,35.3833,47.34,71,95,7.36,UA,1700590703
85,new norfolk,-42.7826,147.0587,54.9,97,3,2.64,AU,1700590703
86,alo,7.4178,6.7371,83.68,57,95,2.64,NG,1700590704
87,verkhnevilyuysk,63.4453,120.3167,-20.6,97,98,5.97,RU,1700590704
88,georgetown,5.4112,100.3354,80.53,84,20,4.61,MY,1700590705
89,bredasdorp,-34.5322,20.0403,64.45,59,36,12.97,ZA,1700590705
90,kununurra,-15.7667,128.7333,78.78,94,65,0.0,AU,1700590706
91,ilulissat,69.2167,-51.1,28.42,69,100,14.97,GL,1700590552
92,half moon,34.826,-77.4594,72.07,61,100,20.71,US,1700590706
93,rengo,-34.4167,-70.8667,71.92,47,100,5.53,CL,1700590646
94,jacksonville,30.3322,-81.6556,81.05,68,75,14.97,US,1700590072
95,manokwari,-0.8667,134.0833,80.29,78,41,5.84,ID,1700590708
96,siwa oasis,29.2041,25.5195,65.95,44,5,6.49,EG,1700590709
97,hadibu,12.65,54.0333,80.78,78,74,10.16,YE,1700590709
98,college,64.8569,-147.8028,8.58,78,20,5.75,US,1700590710
99,kapuskasing,49.4169,-82.4331,30.29,51,100,12.66,CA,1700590710
100,shiqian,27.5225,108.2281,61.56,79,99,1.66,CN,1700590710
101,port alfred,-33.5906,26.891,68.18,88,94,5.79,ZA,1700590711
102,margaret river,-33.95,115.0667,61.83,67,1,15.77,AU,1700590711
103,port lincoln,-34.7333,135.8667,58.28,78,46,17.25,AU,1700590711
104,bubaque,11.2833,-15.8333,83.5,73,25,18.05,GW,1700590712
105,port douglas,-16.4833,145.4667,76.95,87,49,7.87,AU,1700590712
106,kegen,43.0197,79.2203,29.17,60,9,7.16,KZ,1700590713
107,gadzhiyevo,69.2551,33.3362,11.48,96,95,10.4,RU,1700590713
108,camayenne,9.535,-13.6878,82.85,75,13,11.21,GN,1700590714
109,macusani,-14.0833,-70.4333,50.13,63,98,5.91,PE,1700590714
110,hakui,36.8833,136.7833,52.68,80,0,4.23,JP,1700590715
111,carauari,-4.8828,-66.8958,97.66,40,99,1.63,BR,1700590715
112,pisco,-13.7,-76.2167,73.45,73,0,12.66,PE,1700590454
113,puerto rosario,-24.45,-57.0833,98.69,35,88,7.4,PY,1700590716
114,dapa,9.7594,126.0531,80.46,82,100,3.27,PH,1700590717
115,sanming,26.2486,117.6186,55.2,73,0,2.1,CN,1700590717
116,lompoc,34.6391,-120.4579,73.92,47,0,1.01,US,1700590718
117,utrik,11.2278,169.8474,81.12,68,69,18.25,MH,1700590718
118,kailua-kona,19.6406,-155.9956,80.51,78,40,4.61,US,1700590568
119,sarpol-e zahab,34.4611,45.8626,52.3,61,63,2.55,IR,1700590719
120,muromtsevo,56.3724,75.2418,15.33,90,92,11.27,RU,1700590719
121,port elizabeth,-33.918,25.5701,66.31,81,0,4.61,ZA,1700590720
122,avila,40.5833,-5.0,43.65,65,68,8.66,ES,1700590720
123,sitka,57.0531,-135.33,42.69,81,100,16.11,US,1700590721
124,sirte,31.2089,16.5887,70.99,42,23,9.33,LY,1700590721
125,namibe,-15.1961,12.1522,75.58,70,96,11.79,AO,1700590722
126,ambon,-3.6954,128.1814,81.97,82,100,7.43,ID,1700590722
127,carutapera,-1.195,-46.02,85.05,68,91,8.93,BR,1700590722
128,wailua homesteads,22.0669,-159.378,77.79,84,100,13.8,US,1700590723
129,san martin,-33.081,-68.4681,84.74,16,0,15.55,AR,1700590723
130,dunedin,-45.8742,170.5036,55.8,89,100,2.42,NZ,1700590589
131,ocotal,13.6321,-86.4752,85.26,54,17,1.74,NI,1700590724
132,abeokuta,7.15,3.35,83.98,57,94,3.78,NG,1700590515
133,talnakh,69.4865,88.3972,-12.8,97,100,10.02,RU,1700590724
134,bamboo flat,11.7,92.7167,75.29,94,20,2.3,IN,1700590724
135,st. john's,47.5649,-52.7093,36.16,72,20,11.01,CA,1700590725
136,bokovskaya,49.229,41.8306,23.86,81,100,17.54,RU,1700590725
137,avarua,-21.2078,-159.775,75.25,78,75,13.8,CK,1700590725
138,lesnoy,57.6198,63.0784,23.94,80,100,12.71,RU,1700590726
139,howard springs,-12.497,131.047,82.31,91,27,2.15,AU,1700590726
140,ghadamis,30.1337,9.5007,65.01,29,0,7.87,LY,1700590726
141,lincheng,19.9078,109.6858,70.63,91,28,7.94,CN,1700590727
142,san patricio,28.017,-97.5169,66.16,49,100,20.89,US,1700590727
143,cabo san lucas,22.8909,-109.9124,81.75,47,40,8.05,MX,1700590582
144,kadirli,37.3739,36.0961,52.7,48,32,4.54,TR,1700590728
145,coahuayana de hidalgo,18.7,-103.6583,86.63,64,89,4.83,MX,1700590728
146,andergrove,-21.0833,149.1833,75.65,82,89,8.39,AU,1700590729
147,nuku'alofa,-21.1333,-175.2,75.54,88,20,8.05,TO,1700590689
148,kapa'a,22.0752,-159.319,79.12,84,100,13.8,US,1700590729
149,ulsteinvik,62.3432,5.8487,38.07,66,94,5.01,NO,1700590729
150,kutum,14.2,24.6667,70.95,26,100,7.85,SD,1700590730
151,maua,-23.6678,-46.4614,87.6,80,98,7.18,BR,1700590730
152,alice town,25.7167,-79.3,77.63,64,1,16.28,BS,1700590699
153,aktau,43.65,51.2,45.18,64,99,37.42,KZ,1700590731
154,lihue,21.9789,-159.3672,78.39,78,100,13.8,US,1700590731
155,i-n-salah,27.1935,2.4607,71.4,21,84,4.74,DZ,1700590732
156,sicuani,-14.2694,-71.2261,66.31,24,100,5.93,PE,1700590732
157,faya-largeau,17.9257,19.1043,72.27,24,10,9.82,TD,1700590733
158,newcastle,-32.9272,151.7765,67.71,91,90,3.0,AU,1700590401
159,vilyuchinsk,52.9306,158.4028,21.92,84,13,9.01,RU,1700590733
160,mount gambier,-37.8333,140.7667,55.8,72,96,10.2,AU,1700590734
161,betio village,1.358,172.9211,80.64,78,51,10.67,KI,1700590734
162,touros,-5.1989,-35.4608,84.51,61,12,15.46,BR,1700590734
163,buka,40.8108,69.1986,60.98,29,89,6.29,UZ,1700590735
164,katsuren-haebaru,26.3369,127.8719,69.82,86,20,4.61,JP,1700590735
165,dudinka,69.4058,86.1778,-12.39,97,100,12.73,RU,1700590735
166,mejit,10.2753,170.8646,81.14,73,94,17.94,MH,1700590736
167,saint-philippe,-21.3585,55.7679,78.39,88,39,12.24,RE,1700590736
168,qamdo,31.1667,97.2333,24.4,45,100,4.47,CN,1700590736
169,idri,27.5,13.2667,62.82,42,0,2.33,LY,1700590737
170,bien unido,10.1373,124.3776,80.62,85,100,7.14,PH,1700590737
171,uturoa,-16.7333,-151.4333,78.37,83,83,17.72,PF,1700590737
172,karak,31.1667,35.75,55.22,59,0,6.71,JO,1700590738
173,gusinoozyorsk,51.2833,106.5,9.16,74,100,20.71,RU,1700590738
174,zorgo,12.2489,-0.6158,89.83,16,11,6.85,BF,1700590738
175,russellville,35.2784,-93.1338,51.94,65,100,12.66,US,1700590739
176,port hedland,-20.3167,118.5667,78.85,78,34,5.75,AU,1700590739
177,vorgashor,67.5833,63.95,-6.93,100,93,5.91,RU,1700590739
178,swift current,50.2834,-107.8014,41.81,52,0,14.97,CA,1700590591
179,xam nua,20.4197,104.0439,54.23,93,1,2.08,LA,1700590740
180,sechura,-5.5569,-80.8222,80.73,59,100,10.83,PE,1700590740
181,flin flon,54.7682,-101.865,17.44,57,75,6.91,CA,1700590519
182,viedma,-40.8135,-62.9967,71.31,18,0,18.48,AR,1700590741
183,luganville,-15.5333,167.1667,78.1,72,63,10.49,VU,1700590741
184,kalmunai,7.4167,81.8167,79.81,85,91,6.85,LK,1700590742
185,severo-yeniseyskiy,60.3725,93.0408,-15.47,98,99,3.87,RU,1700590742
186,sao joao da barra,-21.6403,-41.0511,86.09,84,67,11.34,BR,1700590743
187,jaffa,32.0504,34.7522,65.08,74,0,5.75,IL,1700590744
188,qaqortoq,60.7167,-46.0333,20.97,96,98,3.15,GL,1700590744
189,pana,39.3889,-89.0801,42.71,89,100,8.99,US,1700590745
190,newton,42.337,-71.2092,42.6,55,75,8.05,US,1700590546
191,zaragoza,41.6561,-0.8773,55.02,57,20,25.32,ES,1700590663
192,tshabong,-26.05,22.45,86.29,21,98,11.25,BW,1700590746
193,crane,31.3974,-102.3501,54.68,38,35,20.0,US,1700590746
194,chibougamau,49.9168,-74.3659,22.62,63,20,11.5,CA,1700590644
195,carnarvon,-24.8667,113.6333,71.37,87,0,8.41,AU,1700590747
196,al burayqah,30.4062,19.5739,69.49,49,74,10.33,LY,1700590748
197,port saint john's,-31.6229,29.5448,74.14,75,95,3.98,ZA,1700590748
198,kuta,-8.7233,115.1723,79.92,85,79,6.53,ID,1700590749
199,papao,-17.75,-149.55,78.48,86,95,22.41,PF,1700590749
200,ishigaki,24.3448,124.1572,68.13,77,20,6.91,JP,1700590749
201,bilibino,68.0546,166.4372,-1.52,96,100,8.46,RU,1700590750
202,aguada de pasajeros,22.385,-80.8508,84.76,53,22,9.89,CU,1700590750
203,ingeniero jacobacci,-41.3427,-69.5448,61.63,22,27,18.77,AR,1700590751
204,constantia,44.1833,28.65,47.08,75,100,7.96,RO,1700590751
205,yulinshi,38.2906,109.7494,40.64,49,38,14.58,CN,1700590752
206,monrovia,6.3005,-10.7969,83.97,81,78,9.82,LR,1700590753
207,trairi,-3.2778,-39.2689,86.67,59,28,15.35,BR,1700590499
208,along,28.1667,94.7667,61.34,97,83,1.79,IN,1700590754
209,kurchatov,51.6601,35.6521,24.42,57,0,6.4,RU,1700590755
210,katsuura,35.1333,140.3,63.66,82,100,8.63,JP,1700590755
211,nuuk,64.1835,-51.7216,29.01,80,75,10.36,GL,1700590756
212,saipan,15.1355,145.701,81.3,83,20,13.8,MP,1700590756
213,happy valley-goose bay,53.3168,-60.3315,28.71,64,40,10.36,CA,1700590757
214,tafuna,-14.3358,-170.72,80.55,78,75,13.8,AS,1700590757
215,hithadhoo,-0.6,73.0833,82.2,74,22,12.91,MV,1700590758
216,fortaleza,-3.7227,-38.5247,87.93,65,40,19.57,BR,1700590758
217,kingston,17.997,-76.7936,88.25,64,20,6.91,JM,1700590700
218,arkhangel'sk,64.5401,40.5433,10.13,99,82,1.99,RU,1700590759
219,hawera,-39.5917,174.2833,54.14,95,56,6.64,NZ,1700590760
220,abu jibeha,11.4562,31.2285,80.4,25,90,7.81,SD,1700590760
221,port augusta,-32.5,137.7667,59.36,71,46,16.4,AU,1700590716
222,sisimiut,66.9395,-53.6735,24.42,85,99,8.01,GL,1700590761
223,lebu,-37.6167,-73.65,57.92,61,51,10.29,CL,1700590761
224,mount pearl,47.5166,-52.7813,35.33,72,20,10.36,CA,1700590762
225,pestovo,58.5938,35.8024,16.61,93,94,7.65,RU,1700590762
226,sabzevar,36.2126,57.6819,55.98,36,7,7.34,IR,1700590762
227,taro,-8.3862,115.28,69.82,96,92,0.72,ID,1700590763
228,hermanus,-34.4187,19.2345,63.46,70,19,15.68,ZA,1700590763
229,nowy dwor gdanski,54.2131,19.1177,34.07,72,90,8.61,PL,1700590764
230,porto novo,6.4965,2.6036,84.02,81,96,8.23,BJ,1700590764
231,woolgoolga,-30.1106,153.2007,70.03,96,88,6.17,AU,1700590764
232,anadyr,64.75,177.4833,34.3,100,100,29.08,RU,1700590765
233,goundi,9.3627,17.366,82.92,34,100,2.86,TD,1700590765
234,kudat,6.8837,116.8477,78.73,94,100,0.0,MY,1700590766
235,uliastay,47.7417,96.8444,-8.75,79,5,6.89,MN,1700590766
236,garissa,-0.4536,39.6401,80.01,80,76,9.71,KE,1700590766
237,saint-pierre,-21.3393,55.4781,78.48,78,32,16.11,RE,1700590767
238,dergachi,51.2328,48.7659,32.76,97,100,16.89,RU,1700590767
239,mount pleasant,32.7941,-79.8626,71.01,91,100,10.36,US,1700590659
240,palmer,42.1584,-72.3287,39.85,50,75,3.44,US,1700590768
241,njombe,-9.3333,34.7667,60.71,80,81,5.55,TZ,1700590769
242,mangrol,21.1167,70.1167,79.39,63,0,4.09,IN,1700590769
243,badger,64.8,-147.5333,8.51,78,0,5.75,US,1700590770
244,santa maria,-29.6842,-53.8069,88.25,56,19,7.34,BR,1700590586
