,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,67,skopin,53.8249,39.5505,22.8,68,0,1.88,RU,1700343053
429,429,akureyri,65.6835,-18.0878,24.73,93,0,3.44,IS,1700343183
